agenturid;agenturname;einrichtungsname;angebotsname;beschreibung;wertigkeit;plz;ort;kontaktierbar;avatar;anzahl_gesuche;anzahl_aktueller_vermittlungen;latitude;longitude;ortsteil;bearbeitet;erstellt;_angebotsId
313;Freiwilligennetzwerk Harburg;Blauer-Weihnachtsmann.org e.V.;Bürotätigkeiten in einem Verein;"<p>Die Initiative setzt sich für die Gleichstellung von Männern und Frauen ein, für eine Gesellschaft, in der beide die gleichen Rechte und Pflichten haben. Ein besonderer Schwerpunkt der Arbeit des Vereins ist der Einsatz für die Gleichbehandlung von Vätern im Zusammenhang mit dem Umgangs- und Sorgerecht.</p>

<p>Der Verein freut sich über Freiwillige, die mit diesen Zielen übereinstimmen und Interesse haben, sich als Mitarbeiter/in im Büro zu engagieren (Erstellen von Adresslisten, Schreiben von Briefen zu besonderen Aktionen etc.).</p>";0;21073;;0;;2;0;53,4554;9,97522;Hamburg;1518703985;1362923820;50057
314;ASB Zeitspender-Agentur Hamburg;Katholische Telefonseelsorge Hamburg;Ehrenamtliche MitarbeiterInnen für die katholische Telefonseelsorge;"<p>Die Katholische TelefonSeelsorge Hamburg bietet Ratsuchenden das vertrauensvolle und anonyme Gespräch mit ehrenamtlichen Mitarbeiterinnen und Mitarbeiter an. Für dieses besondere Gesprächsangebot sucht die katholische TelefonSeelsorge Freiwillige für die Ausbildung zu diesem besonderen Ehrenamt.</p>

<p><strong>Sie bringen mit:</strong></p>

<ul><li>Neugier und Achtsamkeit, um die Not anderer zu sehen und zu teilen</li>
	<li>Einfühlungsvermögen, um sich in andere Lebenswelten hineinzuversetzen</li>
	<li>Selbstwahrnehmung, um die eigenen Stärken zu finden und im Dienst am Telefon sorgsam damit umzugehen</li>
	<li>Teamfähigkeit, um sich mit anderen Ehrenamtlichen auszutauschen</li>
	<li>Offenheit, um Anrufende auch mit religiösen und weltanschaulichen Vorstellungen zum Gespräch einzuladen<br>
	 </li>
</ul><p><strong>Sie erhalten von uns:</strong> Für Ihren Dienst am Telefon bieten wir Ihnen eine qualifizierte Ausbildung, deren Kosten wir übernehmen. Die Ausbildung umfasst ca. 150 Zeitstunden. Ausbildungsschwerpunkte sind:</p>

<ul><li>Arbeit an der eigenen Person; dabei geht es um Ihre Erfahrungen mit eigenen Stärken und Grenzen und wie Sie damit im seelsorgerlichen Telefongespräch umgehen</li>
	<li>Arbeit an der Gesprächsführung; dabei geht es um den Umgang mit diesem besonderen Kommunikationsangebot z.B Gesprächsstruktur</li>
	<li>Einführung in verschiedene Themenfelder die am Telefon häufig vorkommen</li>
</ul><p><strong>Wie sieht Ihre Mitarbeit aus: </strong>Nach Ihrer Ausbildung verpflichten Sie sich zum Dienst am Telefon für drei Jahre. In zwei Tagesdiensten á 4 Stunden monatlich und einem Nachtdienst á 8 Stunden pro Vierteljahr bieten Sie Telefonseelsorge in den Räumen der Dienststelle an. Zur Unterstützung Ihrer ehrenamtlichen Tätigkeit finden fortlaufend verbindliche Supervisionen einmal im Monat statt.  Eine kostenfreie Fortbildung zu relevanten Themen aus der Arbeit am Telefon findet für Sie einmal im Jahr statt.</p>

<p>Setzen Sie sich gerne mit uns in Verbindung, wenn Sie sich für dieses Ehrenamt interessieren, mindestens 25 Jahre alt sind und einer Weltreligion angehören. Wir freuen uns auf ein persönliches Gespräch mit Ihnen!</p>

<p><strong>Der nächste Ausbildungskurs beginnt am 20. Oktober 2018.</strong></p>";0;;;0;;0;0;;;;1518699946;1379329200;54563
314;ASB Zeitspender-Agentur Hamburg;Pro Seniore Residenz;Helfer mit Herz - Spielen und Vorlesen mit und für Seniorinnen und Senioren;"<p>Ruhig und von Gartenanlagen umrahmt, liegt die Pro Seniore Residenz Hamburg im Stadtteil Lokstedt. In der unmittelbaren Umgebung laden mehrere Parkanlagen zum Verweilen ein – auch Hagenbecks Tierpark ist nur wenige Gehminuten entfernt.</p>

<p>Für die Bewohner unserer Residenz suchen wir Helfer mit Herz - Freiwillige, die Freude daran haben mit einzelnen oder mehreren Bewohnerinnen und Bewohnern zu spielen oder ihnen vorzulesen. Weitere Möglichkeiten sein ""Herz anzubieten"", bspw. bei Spaziergängen oder Begleitung zum Einkaufsladen, sind bei uns herzlich willkommen!</p>

<p>Sie können sich unter der Woche, aber auch am Wochenende, nachmittags wie vormittags engagieren. Wie viel Zeit Sie mitbringen, bestimmen Sie selbst. Wenn Sie sich für dieses Engagement interessieren, melden Sie sich gerne bei uns.</p>";0;22529;;0;;8;1;53,5991;9,94187;Hamburg;1518683429;1497615300;120924
313;Freiwilligennetzwerk Harburg;Blauer-Weihnachtsmann.org e.V.;Fundraising für einen Verein;"<p>Die Initiative setzt sich für die Gleichstellung von Männern und Frauen ein, für eine Gesellschaft, in der beide die gleichen Rechte und Pflichten haben. Ein besonderer Schwerpunkt der Arbeit des Vereins ist der Einsatz für die Gleichbehandlung von Vätern im Zusammenhang mit dem Umgangs- und Sorgerecht.</p>

<p>Der Verein freut sich über Freiwillige, die mit diesen Zielen übereinstimmen und Interesse haben, sich im Bereich Fundraising zu engagieren (Recherche von möglichen Förderern, Stiftungsgeldern sowie öffentlichen Fördermitteln, Beantragen von öffentlichen Geldern, Erstellen von Anschreiben zur Spendenakquise sowie Pflege von Kontakten zu Förderern).</p>";0;21073;;0;;2;0;53,4554;9,97522;Hamburg;1518704298;1362934200;50056
313;Freiwilligennetzwerk Harburg;Blauer-Weihnachtsmann.org e.V.;Öffentlichkeitsarbeit in einem Verein;"<p>Die Initiative setzt sich für die Gleichstellung von Männern und Frauen ein, für eine Gesellschaft, in der beide die gleichen Rechte und Pflichten haben. Ein besonderer Schwerpunkt der Arbeit des Vereins ist der Einsatz für die Gleichbehandlung von Vätern im Zusammenhang mit dem Umgangs- und Sorgerecht.</p>

<p>Der Verein freut sich über Freiwillige, die mit diesen Zielen übereinstimmen und Interesse haben, sich im Bereich der Öffentlichkeitsarbeit zu engagieren (Verteilen von Flyern, Organisation und Mithilfe bei Fototerminen, Pflege von Flyerregalen etc.).</p>";0;21073;;0;;2;0;53,4554;9,97522;Hamburg;1518704437;1360775520;49286
313;Freiwilligennetzwerk Harburg;Blinden- und Sehbehindertenseelsorge in der Nordkirche;Unterstützung bei Veranstaltungen für blinde und sehbehinderte Menschen;"<p>Wir unternehmen kleinere Ausflüge in die nähere Umgebung mit verschiedensten Aktivitäten und Attraktionen, wie z.B. Museumsbesuchen, Besuch der Speicherstadt, und nicht zu vergessen unsere Ausfahrt ins Kirschenland…, die immer an einem Sonntag stattfindet und mit einem Gottesdienst beginnt.Zusätzlich haben wir unseren „Tag der Begegnung“ in Lübeck, den wir gemeinsam mit der St. Gertrud-Gemeinde ebenfalls mit einem Gottesdienst zu Beginn begehen.Daneben findet einmal im Jahr eine Bibelfreizeit statt.</p>

<p>Zu all diesen Veranstaltungen bieten wir einen Fahrdienst an. Die meisten Teilnehmerinnen und Teilnehmer sind erst im Alter erblindet. Die jüngeren blinden Menschen sind häufig mehrfach behindert. Auf Grund dieser erhehblichen Einschränkungen benötigen sie Unterstützung, wie z.B. einen Fahrdienst, der sie zu den Veranstaltungen abholt und im Anschluss wieder nach Hause bringt. Dafür steht ein Kleinbus zur Verfügung. Viele Freiwillige nutzen dafür aber auch ihren eigenen PKW.</p>";0;22767;;0;;0;0;53,5479;9,93755;Hamburg;1518705149;1508486160;125547
313;Freiwilligennetzwerk Harburg;Blinden- und Sehbehindertenseelsorge in der Nordkirche;Kaffeenachmittage mit blinden und sehbehinderten Menschen;"<p>Als Veranstaltungsangbot gibt es unsere regelmäßig stattfindenden Kaffeenachmittage mit einem thematischen Schwerpunkt.</p>

<p>So stehen z. B. unterschiedliche christliche Glaubensrichtungen, eine Einführung zum Weltgebetstag, Märchen aus aller Welt und vieles mehr auf dem Programm.</p>

<p>Zu diesen Veranstaltungen bieten wir einen Fahrdienst an. Die meisten Teilnehmerinnen und Teilnehmer sind erst im Alter erblindet. Die jüngeren blinden Menschen sind häufig mehrfach behindert. Auf Grund dieser erhehblichen Einschränkungen benötigen sie Unterstützung, wie z.B. einen Fahrdienst, der sie zu den Veranstaltungen abholt und im Anschluss wieder nach Hause bringt. Dafür steht ein Kleinbus zur Verfügung. Viele Freiwillige nutzen dafür aber auch ihren eigenen PKW.</p>";0;22767;;0;;0;0;53,5479;9,93755;Hamburg;1518704984;1508486280;125548
313;Freiwilligennetzwerk Harburg;Blinden- und Sehbehindertenseelsorge in der Nordkirche;Besuche bei blinden und sehbehinderten Menschen;<p>Möchten Sie sehbehinderten oder blinden Menschen in Hamburg Teilhabe am gemeinschaftlichen und kulturellen Leben ermöglichen? Dann können Sie eine sehbehinderte Person zuhause besuchen, einen netten Nachmittag verbringen, zusammen spazieren gehen, vorlesen oder zuhören.</p>;0;22767;;0;;0;0;53,5479;9,93755;Hamburg;1518704837;1463049900;97522
314;ASB Zeitspender-Agentur Hamburg;Bündnis für Flüchtlinge Buchholz;Vielfältige Mitarbeit im Bündnis für Flüchtlinge Buchholz;"<p>Das Bündnis für Flüchtlinge hat sich im Oktober 2013 gegründet. Derzeit engagieren sich hier mehr als 400 Buchholzerinnen und Buchholzer. Das Bündnis ist unabhängig und überparteilich. Gemeinsam mit Flüchtenden arbeiten wir in Gruppen und Projekten für Teilhabe und Integration und geben Hilfe zur Selbsthilfe. Durch regelmäßige Treffen und Veranstaltungen vernetzen wir ehren- und hauptamtliche Mitarbeiter und fördern die Kooperation. Wir haben zahlreiche Arbeitsgruppen gegründet, in denen Bürgerinnen und Bürger für und mit Flüchtenden arbeiten. Wir bieten an…</p>

<ul><li>Sprache</li>
	<li>Fahrradwerkstatt</li>
	<li>Musik</li>
	<li>Sport</li>
	<li>Kinder</li>
	<li>Mieten und Wohnen</li>
	<li>Arbeit und Ausbildung</li>
	<li>Veranstaltungen</li>
	<li>Jugend für Flüchtende</li>
</ul><p>…und mehr ist möglich. Sie wünschen mehr Informationen? Sie wollen sich im Bündnis engagieren? Wir freuen uns auf weitere Unterstützer!</p>

<p>Mehr Infos finden Sie <a href=""http://www.buendnis-buchholz.de/"">hier</a>.</p>";0;;;0;;0;0;;;;1518610744;1449145140;85540
467;Freiwilligenagenturen in Hamburg;BIN e.V. (Berufliche Integration von Flüchtlingen);Kleinkinderbetreuung;"<p>In St. Georg, auf der Veddel und in Wilhelmsburg suchen wir Frauen, die ein- oder mehrmals in der Woche von 9:30 bis 13:30 Uhr bei der Kinderbetreuung unterstützen. Die Kinder sind aus unterschiedlichen Nationen, sie werden betreut, während ihre Mütter unterrichtet werden. Durchschnittlich sind es 7-8 Kinder, die betreut werden. Der Unterricht findet direkt neben, bzw. bei der Kinderbetreuung statt (Es ist eher eng!). Unser Wunsch ist, dass die Ehrenamtlichen immer zu zweit sind, sich mit den Kindern etwas beschäftigen und dabei helfen, dass sie zufrieden sind. Bringen Sie gern Ihre eigenen Ideen mit! Da viele der Kinder gestillt werden, besteht auch ein enger Kontakt zu den Müttern.</p>

<p>Zur Zeit werden dringend Freiwillige für die Standorte Wilhelmsburg und Harburg gesucht! ( Stand vom Februar 2018)!</p>";0;20097;;0;;0;1;53,5528;10,0129;Hamburg;1518592835;1512123240;128309
